,Unnamed: 0,Country,Item,Element,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
2,1145,Afghanistan,Wine,Export quantity,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2695,Albania,Wine,Export quantity,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
12,4366,Algeria,Wine,Export quantity,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,6038,Angola,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,1.0,1.0,0.0
22,7757,Antigua and Barbuda,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,9453,Argentina,Wine,Export quantity,286.0,323.0,373.0,322.0,267.0,270.0,259.0,225.0,269.0,300.0,385.0,290.0,261.0
32,11031,Armenia,Wine,Export quantity,2.0,1.0,2.0,2.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,5.0,9.0
37,12718,Australia,Wine,Export quantity,800.0,749.0,735.0,711.0,913.0,999.0,1024.0,821.0,860.0,752.0,763.0,633.0,644.0
42,14406,Austria,Wine,Export quantity,69.0,51.0,52.0,50.0,52.0,50.0,50.0,51.0,55.0,67.0,73.0,81.0,76.0
47,16061,Azerbaijan,Wine,Export quantity,3.0,5.0,6.0,6.0,5.0,3.0,,5.0,4.0,4.0,3.0,4.0,5.0
52,17720,Bahamas,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,19435,Bahrain,Wine,Export quantity,,,,,,,,,,0.0,0.0,0.0,0.0
61,21208,Bangladesh,Wine,Export quantity,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,22929,Barbados,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,24578,Belarus,Wine,Export quantity,0.0,0.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,0.0
75,26292,Belgium,Wine,Export quantity,29.0,30.0,33.0,37.0,30.0,32.0,30.0,39.0,51.0,63.0,63.0,164.0,158.0
80,28041,Belize,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
85,29756,Benin,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,31400,Bhutan,Wine,Export quantity,,,,,,,,,,0.0,0.0,0.0,0.0
94,33087,Bolivia (Plurinational State of),Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,34664,Bosnia and Herzegovina,Wine,Export quantity,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0
104,36357,Botswana,Wine,Export quantity,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,38109,Brazil,Wine,Export quantity,11.0,3.0,7.0,21.0,3.0,2.0,2.0,4.0,5.0,5.0,5.0,10.0,9.0
114,39753,Bulgaria,Wine,Export quantity,54.0,59.0,59.0,53.0,46.0,42.0,30.0,32.0,30.0,32.0,29.0,26.0,22.0
119,41507,Burkina Faso,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,43147,Burundi,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0
128,44758,Cabo Verde,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
133,46586,Cambodia,Wine,Export quantity,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,
138,48369,Cameroon,Wine,Export quantity,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
143,50063,Canada,Wine,Export quantity,16.0,23.0,27.0,43.0,65.0,73.0,72.0,89.0,96.0,140.0,166.0,211.0,215.0
148,51774,Central African Republic,Wine,Export quantity,0.0,0.0,0.0,0.0,,,,,,,0.0,,
153,53379,Chad,Wine,Export quantity,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0
158,54962,Chile,Wine,Export quantity,732.0,663.0,749.0,880.0,801.0,877.0,907.0,941.0,846.0,869.0,851.0,868.0,834.0
163,56932,China,Wine,Export quantity,15.0,22.0,22.0,21.0,27.0,36.0,38.0,35.0,24.0,16.0,9.0,16.0,12.0
168,58779,"China, Hong Kong SAR",Wine,Export quantity,12.0,18.0,19.0,19.0,22.0,27.0,27.0,25.0,16.0,11.0,7.0,10.0,8.0
173,60501,"China, Macao SAR",Wine,Export quantity,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
178,62311,"China, mainland",Wine,Export quantity,2.0,3.0,3.0,3.0,4.0,9.0,10.0,10.0,7.0,4.0,2.0,4.0,3.0
183,64038,"China, Taiwan Province of",Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,65890,Colombia,Wine,Export quantity,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,67545,Comoros,Wine,Export quantity,,,,,,,,0.0,,,0.0,,
197,69268,Congo,Wine,Export quantity,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,71014,Costa Rica,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,72819,Côte d'Ivoire,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,74567,Croatia,Wine,Export quantity,2.0,4.0,6.0,3.0,4.0,5.0,4.0,5.0,6.0,5.0,4.0,4.0,5.0
217,76338,Cuba,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,78158,Cyprus,Wine,Export quantity,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
227,79887,Czechia,Wine,Export quantity,19.0,27.0,23.0,34.0,23.0,16.0,9.0,11.0,9.0,10.0,9.0,9.0,11.0
232,81517,Democratic People's Republic of Korea,Wine,Export quantity,,,,,,0.0,,,0.0,,,,
237,83256,Democratic Republic of the Congo,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,84875,Denmark,Wine,Export quantity,43.0,29.0,48.0,56.0,43.0,34.0,31.0,30.0,31.0,32.0,37.0,45.0,46.0
247,86487,Djibouti,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,
252,88174,Dominica,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
256,89944,Dominican Republic,Wine,Export quantity,0.0,0.0,0.0,0.0,11.0,6.0,8.0,7.0,8.0,7.0,4.0,5.0,4.0
261,91719,Ecuador,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,93537,Egypt,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
271,95222,El Salvador,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,96951,Estonia,Wine,Export quantity,5.0,6.0,5.0,4.0,4.0,4.0,5.0,7.0,6.0,6.0,4.0,5.0,5.0
280,98639,Eswatini,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
285,100358,Ethiopia,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,102049,Fiji,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
295,103701,Finland,Wine,Export quantity,4.0,4.0,3.0,2.0,13.0,15.0,16.0,19.0,19.0,20.0,19.0,17.0,19.0
300,105391,France,Wine,Export quantity,1434.0,1546.0,1582.0,1532.0,1483.0,1470.0,1462.0,1573.0,1486.0,1513.0,1445.0,1543.0,1478.0
305,107151,French Polynesia,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,108837,Gabon,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
315,110421,Gambia,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
320,112010,Georgia,Wine,Export quantity,21.0,24.0,21.0,36.0,46.0,27.0,38.0,59.0,63.0,70.0,69.0,81.0,102.0
325,113732,Germany,Wine,Export quantity,491.0,523.0,495.0,498.0,418.0,389.0,386.0,413.0,404.0,413.0,390.0,401.0,381.0
330,115514,Ghana,Wine,Export quantity,0.0,1.0,0.0,0.0,3.0,2.0,1.0,4.0,4.0,0.0,5.0,7.0,1.0
335,117241,Greece,Wine,Export quantity,34.0,34.0,30.0,27.0,28.0,28.0,30.0,29.0,32.0,28.0,26.0,26.0,30.0
340,118986,Grenada,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0
345,120860,Guatemala,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
350,122630,Guinea,Wine,Export quantity,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0
357,125773,Guyana,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362,127479,Haiti,Wine,Export quantity,,,,,0.0,,0.0,,,0.0,0.0,0.0,0.0
366,129277,Honduras,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,
371,131062,Hungary,Wine,Export quantity,86.0,62.0,52.0,53.0,62.0,60.0,65.0,82.0,111.0,93.0,107.0,93.0,117.0
376,132779,Iceland,Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381,134595,India,Wine,Export quantity,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
386,136395,Indonesia,Wine,Export quantity,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
390,138110,Iran (Islamic Republic of),Wine,Export quantity,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
395,139803,Iraq,Wine,Export quantity,,,,,,,,0.0,,,0.0,,
399,141493,Ireland,Wine,Export quantity,5.0,2.0,1.0,1.0,1.0,2.0,5.0,6.0,8.0,10.0,12.0,8.0,10.0
404,143223,Israel,Wine,Export quantity,4.0,4.0,2.0,5.0,12.0,5.0,5.0,5.0,6.0,9.0,6.0,7.0,7.0
409,144985,Italy,Wine,Export quantity,2363.0,2561.0,2243.0,2142.0,2150.0,2104.0,2171.0,2253.0,2054.0,2266.0,2184.0,2330.0,2300.0
